"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AW1","GA1","GE1","GF1","MA1","OC1","REM","EQD"
"00702699999","2017-02-10T14:04:00","4","0.0","0.0","7026.0","WXPOD 7026, AF","FM-15","99999","V020","999,9,V,0005,1","22000,1,9,N","009999,1,9,9","+0020,1","-0080,1","99999,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10318,1,99999,9",,"MET104MOBOB0 METAR 7026 //008 000000 101404Z AUTO VRB01KT 9999 CLR 02/M08 A3047 RMK CDP03661 CLR CDP03605 CLR=",
"00702699999","2017-02-10T14:14:00","4","0.0","0.0","7026.0","WXPOD 7026, AF","FM-15","99999","V020","999,9,V,0005,1","22000,1,9,N","009999,1,9,9","+0020,1","-0080,1","99999,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10318,1,99999,9",,"MET104MOBOB0 METAR 7026 //008 000000 101414Z AUTO VRB01KT 9999 CLR 02/M08 A3047 RMK CDP03605 CLR CDP03661 CLR=",
"00702699999","2017-02-10T14:19:00","4","0.0","0.0","7026.0","WXPOD 7026, AF","FM-15","99999","V020","999,9,V,0010,1","22000,1,9,N","009999,1,9,9","+0030,1","-0080,1","99999,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10318,1,99999,9",,"MET104MOBOB0 METAR 7026 //008 000000 101419Z AUTO VRB02KT 9999 CLR 03/M08 A3047 RMK CDP03605 CLR CDP03661 CLR=",
"00702699999","2017-02-10T14:24:00","4","0.0","0.0","7026.0","WXPOD 7026, AF","FM-15","99999","V020","999,9,V,0015,1","22000,1,9,N","009999,1,9,9","+0030,1","-0090,1","99999,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10318,1,99999,9",,"MET104MOBOB0 METAR 7026 //008 000000 101424Z AUTO VRB03KT 9999 CLR 03/M09 A3047 RMK CDP03605 CLR CDP03661 CLR=",
"00702699999","2017-02-10T14:29:00","4","0.0","0.0","7026.0","WXPOD 7026, AF","FM-15","99999","V020","030,1,N,0005,1","22000,1,9,N","009999,1,9,9","+0030,1","-0080,1","99999,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10318,1,99999,9",,"MET104MOBOB0 METAR 7026 //008 000000 101429Z AUTO 03001KT 9999 CLR 03/M08 A3047 RMK CDP03605 CLR CDP03661 CLR=",
"00702699999","2017-02-10T14:34:00","4","0.0","0.0","7026.0","WXPOD 7026, AF","FM-15","99999","V020","999,9,V,0010,1","22000,1,9,N","009999,1,9,9","+0030,1","-0080,1","99999,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10318,1,99999,9",,"MET091MOBOB0 METAR 7026 //008 000000 101434Z AUTO VRB02KT 9999 CLR 03/M08 A3047 RMK CDP03661 CLR=",
"00702699999","2017-02-10T14:39:00","4","0.0","0.0","7026.0","WXPOD 7026, AF","FM-15","99999","V020","260,1,N,0005,1","22000,1,9,N","009999,1,9,9","+0030,1","-0080,1","99999,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10318,1,99999,9",,"MET104MOBOB0 METAR 7026 //008 000000 101439Z AUTO 26001KT 9999 CLR 03/M08 A3047 RMK CDP03661 CLR CDP03605 CLR=",
"00702699999","2017-02-10T14:44:00","4","0.0","0.0","7026.0","WXPOD 7026, AF","FM-15","99999","V020","999,9,C,0000,1","22000,1,9,N","009999,1,9,9","+0040,1","-0080,1","99999,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10318,1,99999,9",,"MET104MOBOB0 METAR 7026 //008 000000 101444Z AUTO 00000KT 9999 CLR 04/M08 A3047 RMK CDP03605 CLR CDP03661 CLR=",
"00702699999","2017-02-10T14:49:00","4","0.0","0.0","7026.0","WXPOD 7026, AF","FM-15","99999","V020","110,1,N,0005,1","22000,1,9,N","009999,1,9,9","+0040,1","-0080,1","99999,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10318,1,99999,9",,"MET119MOBOB0 METAR 7026 //008 000000 101449Z AUTO 11001KT 9999 CLR 04/M08 A3047 RMK CDP03605 CLR CDP03661 FEW056 CLD AVG 056=",
"00702699999","2017-02-10T14:54:00","4","0.0","0.0","7026.0","WXPOD 7026, AF","FM-15","99999","V020","999,9,V,0005,1","22000,1,9,N","009999,1,9,9","+0040,1","-0090,1","99999,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10318,1,99999,9",,"MET104MOBOB0 METAR 7026 //008 000000 101454Z AUTO VRB01KT 9999 CLR 04/M09 A3047 RMK CDP03661 CLR CDP03605 CLR=",
"00702699999","2017-02-10T14:59:00","4","0.0","0.0","7026.0","WXPOD 7026, AF","FM-15","99999","V020","999,9,C,0000,1","22000,1,9,N","009999,1,9,9","+0040,1","-0090,1","99999,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10318,1,99999,9",,"MET104MOBOB0 METAR 7026 //008 000000 101459Z AUTO 00000KT 9999 CLR 04/M09 A3047 RMK CDP03661 CLR CDP03605 CLR=",
"00702699999","2017-02-10T15:04:00","4","0.0","0.0","7026.0","WXPOD 7026, AF","FM-15","99999","V020","999,9,V,0010,1","22000,1,9,N","009999,1,9,9","+0050,1","-0080,1","99999,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10318,1,99999,9",,"MET104MOBOB0 METAR 7026 //008 000000 101504Z AUTO VRB02KT 9999 CLR 05/M08 A3047 RMK CDP03661 CLR CDP03605 CLR=",
